"A","B","A->B","B->A"
"Architectural Design Problems","architectural design","True","False"
"Architectural Design IV","architectural design","True","False"
"Architectural Design 4","architectural design","True","False"
"Principles of Architectural Design","architectural design","True","False"
"Architectural Analysis","architectural design","True","False"
"Architectural Systems","architectural design","True","False"
"Architectural Design 6","architectural design","True","False"
"Architectural Design Fundamentals II","architectural design","True","False"
"Architecture","architectural design","False","True"
"Elements and Principles of Architectural Design","architectural design","True","False"
"Architectural Research","architectural design","True","False"
"Architectural Design Concepts","architectural design","True","False"
"Technology Integrat","avaiation technology","False","False"
"Technology","avaiation technology","False","False"
"Applied Technology I","avaiation technology","False","False"
"Machine Technology I","avaiation technology","False","False"
"Technology and Operations","avaiation technology","False","False"
"Computer Technology","avaiation technology","False","False"
"Industrial Technology","avaiation technology","False","False"
"Applied Technology","avaiation technology","False","False"
"New Technologies","avaiation technology","False","False"
"Computer Technologies","avaiation technology","False","False"
"Technology and Techniques","avaiation technology","False","False"
"New Technology Ii","avaiation technology","False","False"
"Electronic Technology I","avaiation technology","False","False"
"Operations and Technology","avaiation technology","False","False"
"Architecture Technology I","avaiation technology","False","False"
"Machine Technology","avaiation technology","False","False"
"New Technology I","avaiation technology","False","False"
"Software Technology I","avaiation technology","False","False"
"Optical Technology I","avaiation technology","False","False"
"Architectural Technology I","avaiation technology","False","False"
"Ag Engineering Technology I","avaiation technology","False","False"
"Manufacturing Technology I","avaiation technology","False","False"
"Innovation Technology","avaiation technology","False","False"
"Innovations in Technology","avaiation technology","False","False"
"Technology of the Modern World","avaiation technology","False","False"
"Accounting 1","accounting","True","False"
"Accounting in Business","accounting","True","False"
"Accounting Management","accounting","True","False"
"Accounting I","accounting","True","False"
"Business Accounting","accounting","True","False"
"Accounting and Finance","accounting","True","False"
"Financial Accounting","accounting","True","False"
"Accounting 2","accounting","True","False"
"Concepts of Accounting","accounting","True","False"
"Finance for Accounting","accounting","True","False"
"Finance and Accounting","accounting","True","False"
"Accounting Concepts","accounting","True","False"
"Corporate Accounting","accounting","True","False"
"Fundamental of Accounting","accounting","True","False"
"Accounting in Practice","accounting","True","False"
"Accounting for Business","accounting","True","False"
"Basic Accounting","accounting","True","False"
"Accounting Ii","accounting","True","False"
"Accounting Analysis","accounting","True","False"
"Accounting Profession","accounting","True","False"
"Accounting III","accounting","True","False"
"Professional Accounting","accounting","True","False"
"Accounting and Financial Management","accounting","True","False"
"Accounting Perspectives","accounting","True","False"
"Fundamentals of Accounting","accounting","True","False"
"Career Development I","career development","True","False"
"Career Development and Advancement","career development","True","False"
"Career Development and Management","career development","True","False"
"Career Development and Employment","career development","True","False"
"Career Development Strategies","career development","True","False"
"Career Planning and Development","career development","True","False"
"Career Management and Development","career development","True","False"
"Introduction to Career Development","career development","True","False"
"Career Education and Development","career development","True","False"
"Life and Career Development","career development","True","False"
"Career Development for Life","career development","True","False"
"Career Development Project","career development","True","False"
"Career Development and Planning","career development","True","False"
"Career Development in Organizations","career development","True","False"
"Career Planning/Development","career development","True","False"
"Career Development and Transition","career development","True","False"
"Career Development Process","career development","True","False"
"Career Development Transition","career development","True","False"
"Career and Life Development","career development","True","False"
"Facilitating Career Development","career development","True","False"
"Training and Career Development","career development","True","False"
"Employment and Career Development","career development","True","False"
"Career Development and Placement","career development","True","False"
"Career Development and Choice","career development","True","False"
"Career Development Experiences","career development","True","False"
"Academic Coaching","academic skills coaching","True","True"
"Academic Success Coaching","academic skills coaching","True","False"
"Instructional Coaching","academic skills coaching","True","False"
"Academic Improvement Coaching","academic skills coaching","True","False"
"Coaching Studies","academic skills coaching","True","False"
"Coaching in Educational Settings","academic skills coaching","True","False"
"Instructional Coaching in Schools","academic skills coaching","True","False"
"Coaching Competencies","academic skills coaching","True","False"
"Intro to Academic Coaching","academic skills coaching","True","False"
"Peer Academic Coaching","academic skills coaching","True","False"
"Instructional Techniques in Coaching","academic skills coaching","True","False"
"Instructional and Coaching Strategies","academic skills coaching","True","False"
"Developing Coaching Practice","academic skills coaching","True","False"
"Advanced Coaching Pedagogy","academic skills coaching","True","False"
"Coaching and Professional Development","academic skills coaching","True","False"
"Advanced Principles of Coaching","academic skills coaching","True","False"
"Fundamental Techniques in Coaching","academic skills coaching","True","False"
"Instructional Strategies and Techniques in Coaching","academic skills coaching","True","False"
"Skills Training: Individual Coaching","academic skills coaching","True","False"
"Coaching Teachers","academic skills coaching","True","False"
"Advanced Concepts in Coaching","academic skills coaching","True","False"
"Instructional Coaching and Professional Development","academic skills coaching","True","False"
"Principles, Problems and Psychology of Coaching","academic skills coaching","True","False"
"Pedagogical Strategies in Coaching","academic skills coaching","True","False"
"Coaching Fieldwork","academic skills coaching","True","False"
"Computational and Applied Algebra","computational algebra","True","False"
"Computer Algebra","computational algebra","True","False"
"Computational Abstract Algebra","computational algebra","True","False"
"Computational Math","computational algebra","True","False"
"Computational Mathematics","computational algebra","True","False"
"Computer Algebra and Programming","computational algebra","True","False"
"Computational Mathematics I","computational algebra","True","False"
"Computational Mathematics II","computational algebra","True","False"
"Programming and Computer Algebra","computational algebra","True","False"
"Computer Mathematics","computational algebra","True","False"
"Advanced Computational Math","computational algebra","True","False"
"Computation and Algebra Skills","computational algebra","True","False"
"Mathematics of Computing","computational algebra","True","False"
"Mathematics for Computing","computational algebra","True","False"
"Mathematical Computing","computational algebra","True","False"
"Mathematics in Computing","computational algebra","True","False"
"Introduction to Computer Algebra Systems","computational algebra","True","False"
"Computing for Mathematics","computational algebra","True","False"
"Computational Linear Algebra","computational algebra","True","False"
"Algebra for Scientists and Engineers","computational algebra","True","False"
"Computing for Mathematicians","computational algebra","True","False"
"Computational Finite Mathematics","computational algebra","True","False"
"Computational Science","computational algebra","True","False"
"World of Math:Algebra","computational algebra","True","False"
"Mathematics of Computer Science","computational algebra","True","False"
"Building Construction and Methods","building construction","True","False"
"Building Design and Construction","building construction","True","False"
"Building Construction II","building construction","True","False"
"Building Construction I","building construction","True","False"
"Construction Design","building construction","True","False"
"Introduction to Building Construction","building construction","True","False"
"Building Systems and Construction","building construction","True","False"
"Fundamentals of Building Construction","building construction","True","False"
"Building Construction Systems","building construction","True","False"
"Building Structures","building construction","True","False"
"Construction Structures","building construction","True","False"
"Introduction to Building Construction I","building construction","True","False"
"Architecture and Construction","building construction","True","False"
"Construction Basics","building construction","True","False"
"Construction Engineering","building construction","True","False"
"Construction Practice","building construction","True","False"
"Construction Planning","building construction","True","False"
"Construction Operations","building construction","True","False"
"Introduction to Construction","building construction","True","False"
"Building Operations","building construction","True","False"
"Construction Systems","building construction","True","False"
"Building Design","building construction","True","False"
"Building Design and Construction Practice","building construction","True","False"
"Methods of Building Construction II","building construction","True","False"
"Construction Design Project","building construction","True","False"
"Cosmetology I","cosmetology","True","False"
"Science of Cosmetology","cosmetology","True","False"
"Introduction to Cosmetology","cosmetology","True","False"
"Cosmetology Theory I","cosmetology","True","False"
"Comprehensive Cosmetology","cosmetology","True","False"
"Fundamentals of Cosmetology","cosmetology","True","False"
"Cosmetology Theory II","cosmetology","True","False"
"Cosmetology IV","cosmetology","True","False"
"Introduction to Cosmetology Theory","cosmetology","True","False"
"Intro to Cosmetology Theory","cosmetology","True","False"
"Orientation to Cosmetology","cosmetology","True","False"
"Introduction to Cosmetology Theory (4-0-4)","cosmetology","True","False"
"Independent Study in Cosmetology","cosmetology","True","False"
"Orientation to the Instruction of Cosmetology","cosmetology","True","False"
"Cosmetology Lab II","cosmetology","True","False"
"Cosmetology Lab I","cosmetology","True","False"
"Cosmetology Capstone","cosmetology","True","False"
"Cosmetology Clinical I","cosmetology","True","False"
"Cosmetology Clinical Iii","cosmetology","True","False"
"Phases of Cosmetology","cosmetology","True","False"
"Cosmetology Clinical Ii","cosmetology","True","False"
"Cosmetology Diploma","cosmetology","True","False"
"Introduction to Business Practices in Cosmetology","cosmetology","True","False"
"Trichology for Cosmetology Apprentice","cosmetology","True","False"
"Cosmetology Diploma Program","cosmetology","True","False"
"2d-Design","2D Design","True","True"
"Design 2D","2D Design","True","True"
"Basic 2D Design","2D Design","True","False"
"Design + 2D","2D Design","True","True"
"2D Design (Art)","2D Design","True","True"
"2D Design With the Computer","2D Design","True","False"
"Design I - 2D Design","2D Design","True","False"
"Fundamentals of 2D Design","2D Design","True","False"
"Design Concepts II 2D","2D Design","True","False"
"Design Concepts I: 2D","2D Design","True","False"
"Introduction to 2D Design","2D Design","True","False"
"Design I-2d","2D Design","True","False"
"Design I 2D","2D Design","True","False"
"Foundations: 2D Design","2D Design","True","False"
"2 Dimensional Design","2D Design","True","True"
"2-D Design","2D Design","True","True"
"2D Computer Aided Design","2D Design","True","False"
"Two Dimensional Design","2D Design","True","True"
"2D Design II: Thematic Topics","2D Design","True","False"
"2-Dimensional Design","2D Design","True","True"
"2- Dimensional Design","2D Design","True","True"
"Design I (2D)","2D Design","True","False"
"2-D Design (Art)","2D Design","True","True"
"Two-Dimensional Design","2D Design","True","True"
"Design Thinking - 2D","2D Design","True","False"
"Training/Development","training and development","True","True"
"Training and Development (3)","training and development","True","True"
"Training and Development Programs","training and development","True","False"
"Essentials of Training and Development","training and development","True","False"
"Training, Development, and Evaluation","training and development","True","False"
"Principles of Training and Development","training and development","True","False"
"Training and Management Development","training and development","True","False"
"Training and Organizational Development","training and development","True","False"
"Theory and Practice of Training and Development","training and development","True","False"
"Introduction to Training and Development","training and development","True","False"
"Training and Development Theory","training and development","True","False"
"Training and Development in Organizations","training and development","True","False"
"Training and Development (Business)","training and development","True","False"
"Program Training and Development","training and development","True","False"
"Training and Development Overview","training and development","True","False"
"Training, Development, and Performance Management","training and development","True","False"
"Training and Development in Organization","training and development","True","False"
"Designing and Developing Training","training and development","True","False"
"Training Design and Development","training and development","True","False"
"Learning and Development","training and development","True","True"
"Training, Developing, and Communicating","training and development","True","False"
"Training/Development in Organizations","training and development","True","False"
"Training and Managerial Development","training and development","True","False"
"Training and Employee Development","training and development","True","False"
"Communication, Training, and Development","training and development","True","False"
"Agriculture Economics","agricultural economics","True","True"
"Agricultural Economics I","agricultural economics","True","False"
"Economics in Agriculture","agricultural economics","True","False"
"Agriculture Economics I","agricultural economics","True","False"
"Economics of Agriculture","agricultural economics","True","False"
"Agricultural Economics and Policy","agricultural economics","True","False"
"Agricultural Production Economics","agricultural economics","True","False"
"Introductory Agricultural Economics","agricultural economics","True","False"
"Introduction to Agricultural Economics","agricultural economics","True","False"
"Agricultural Economics of Agricultural Markets","agricultural economics","True","False"
"Fundamentals of Agricultural Economics","agricultural economics","True","False"
"Agricultural Production and Economics","agricultural economics","True","False"
"Special Topics in Agricultural Economics","agricultural economics","True","False"
"Economics of the Agricultural Sector","agricultural economics","True","False"
"Agricultural Economics Problems","agricultural economics","True","False"
"Economics of Agricultural Production","agricultural economics","True","False"
"International Agricultural Economics","agricultural economics","True","False"
"Research in Agricultural Economics","agricultural economics","True","False"
"Economics of Agricultural Markets","agricultural economics","True","False"
"Intro to Agricultural Economics","agricultural economics","True","False"
"Intro Agricultural Economics","agricultural economics","True","False"
"Introduction to Agriculture Economics","agricultural economics","True","False"
"Principles of Agricultural Economics","agricultural economics","True","False"
"Agricultural Economics and Agribusiness","agricultural economics","True","False"
"Introduction to Agricultural Economics and Business","agricultural economics","True","False"
"Assessment Strategies and Uses","Assessment Strategies","True","False"
"Assessment Strategies and Application","Assessment Strategies","True","False"
"Issues and Strategies in Assessment","Assessment Strategies","True","False"
"Current Research in Assessment Strategies","Assessment Strategies","True","False"
"Assessment Practices","Assessment Strategies","True","False"
"Methods of Assessment","Assessment Strategies","True","False"
"Assessment Techniques","Assessment Strategies","True","False"
"Assessment Methods","Assessment Strategies","True","False"
"Assessment and Evaluation Strategies","Assessment Strategies","True","False"
"Principles of Assessment","Assessment Strategies","True","False"
"Assessment: Principles and Practices","Assessment Strategies","True","False"
"Effective Assessment","Assessment Strategies","True","False"
"Assessment Procedures","Assessment Strategies","True","False"
"Assessment Measures and Techniques","Assessment Strategies","True","False"
"Assessment Theory and Methods","Assessment Strategies","True","False"
"Introduction to Assessment","Assessment Strategies","True","False"
"Educational Assessment and Strategies","Assessment Strategies","True","False"
"Assessment","Assessment Strategies","True","True"
"Assessment: Theory, Strategy and Design","Assessment Strategies","True","False"
"Assessment Strategies/Reading","Assessment Strategies","True","False"
"Introduction to Assessment/Methods","Assessment Strategies","True","False"
"Professional Assessment Strategies","Assessment Strategies","True","False"
"Essentials of Assessment","Assessment Strategies","True","False"
"Assessment: Theory and Practice","Assessment Strategies","True","False"
"Assessment Strategies Proficiency","Assessment Strategies","True","False"
"Aerospace Engineering","aerospace","True","False"
"Aerospace Systems","aerospace","True","False"
"Aerospace Education","aerospace","True","False"
"Aerospace Studies I","aerospace","True","False"
"Aerospace Transportation","aerospace","True","False"
"Aerospace Studies Iii","aerospace","True","False"
"Aerospace Design","aerospace","True","False"
"Aerospace Studies IV","aerospace","True","False"
"Aerospace Research","aerospace","True","False"
"Aerospace Systems Engineering","aerospace","True","False"
"Introduction to Aerospace","aerospace","True","False"
"Aerospace Studies 2","aerospace","True","False"
"Aerospace Studies 1A","aerospace","True","False"
"Aerospace Design I","aerospace","True","False"
"Aerospace Studies II","aerospace","True","False"
"Introduction to the Aerospace Industry","aerospace","True","False"
"Advanced Aerospace Education","aerospace","True","False"
"Aerospace Fundamentals","aerospace","True","False"
"Aerospace Engineering Mechanics","aerospace","True","False"
"Aeronautics","aerospace","True","False"
"Aerospace Dynamics","aerospace","True","False"
"Aerospace Engineering Project","aerospace","True","False"
"The Evolution of Aerospace Studies I","aerospace","True","False"
"Aerospace Flight Mechanics","aerospace","True","False"
"Aerospace Safety","aerospace","True","False"
"Earth Climate Studies","climate studies","True","False"
"Introduction to Climate Studies","climate studies","True","False"
"Global Climate Studies","climate studies","True","False"
"Climate Science","climate studies","True","True"
"Climate Science I","climate studies","True","False"
"Online Climate Studies","climate studies","True","False"
"Climate","climate studies","False","True"
"Climate Dynamics","climate studies","True","False"
"Weather Studies","climate studies","True","False"
"Climate History","climate studies","True","False"
"Climate Ecology","climate studies","True","False"
"Introduction to Climate","climate studies","True","False"
"Climate Theory","climate studies","True","False"
"Climate and Climate Change","climate studies","True","False"
"Introduction to Climate Studies Lab","climate studies","True","False"
"Climate Studies Lab","climate studies","True","False"
"Climate Change Science","climate studies","True","False"
"Exploration of Climate Sciences","climate studies","True","False"
"Climate Change Assessment","climate studies","True","False"
"Climate Models","climate studies","True","False"
"Meteorology, Climate, and Climate Change","climate studies","True","False"
"Climate Policy","climate studies","True","False"
"Climate Modeling","climate studies","True","False"
"Earth Science: Weather and Climate","climate studies","True","False"
"Climate Impacts","climate studies","True","False"
"Animals and Ethics","animal ethics","True","True"
"Ethics and Animals","animal ethics","True","True"
"Animal Ethics and Policy","animal ethics","True","False"
"Animal Philosophy and Ethics","animal ethics","True","False"
"Ethics of Animal Use","animal ethics","True","False"
"Environmental and Animal Ethics","animal ethics","True","False"
"People, Ethics and Other Animals","animal ethics","True","False"
"Animal Ethics and Service","animal ethics","True","False"
"Animal Ethics: Spiritual, Ecological, and Philosophical Perspectives","animal ethics","True","False"
"Animal Welfare and Ethics","animal ethics","True","False"
"Ethics in Animal Research","animal ethics","True","False"
"People, Ethics and Other Animals (3)","animal ethics","True","False"
"Ethics, Animals, and the Environment","animal ethics","True","False"
"Animals in Human Society: Ethical Issues of Animal Use","animal ethics","True","False"
"Animal Rights and Ethical Issues","animal ethics","True","False"
"Animals in Society: Social and Ethical Considerations","animal ethics","True","False"
"Animals and Ethics: Welfare, Rights, Utilitarianism, and Beyond","animal ethics","True","False"
"Animals and Us: Science, Society, Ethics","animal ethics","True","False"
"Next of Kin: Perspectives on Animal Ethics and Biodiversity","animal ethics","True","False"
"Ethics and Professionalism in Animal Biology","animal ethics","True","False"
"Veterinary Law and Ethics","animal ethics","True","False"
"Animal Exploitation/International Law and Ethics","animal ethics","True","False"
"Animal Cruelty","animal ethics","True","False"
"Philosophy of Animals","animal ethics","False","False"
"Sources and Methods: Animals, Persons, and Ethics","animal ethics","True","False"
"International Exchange: Executive MBA Program","executive mba program","True","False"
"MBA Professional Development","executive mba program","True","False"
"MBA - Professional Development","executive mba program","True","False"
"MBA Professional Internship","executive mba program","True","False"
